Filename,Participant Code,Session Code,Condition Code,Hand Dominance,Pointing Device,Device Experience,Mean Completion Time (ms),Mean Click Error (%),Mean Throughput (bps)
WebFitts_P0_S0_C0_Mouse_overall.csv,P0,S0,C0,Dominant,Mouse,Intermediate,834.6533333301544,13.333333333333334,3.759053051233327
WebFitts_P0_S0_C1_Mouse_overall.csv,P0,S0,C1,Non-Dominant,Mouse,Intermediate,1190.4933333396912,0,2.6677468719439514
WebFitts_P0_S0_C2_Touchpad_overall.csv,P0,S0,C2,Dominant,Touchpad,Intermediate,981.8199999968211,6.666666666666667,3.5265574878627803
WebFitts_P0_S0_C3_Touchpad_overall.csv,P0,S0,C3,Non-Dominant,Touchpad,Intermediate,908.3333333333334,6.666666666666667,3.5769164111945355
WebFitts_P0_S1_C0_Mouse_overall.csv,P0,S1,C0,Dominant,Mouse,Intermediate,702.2400000095367,6.666666666666667,4.490062379358781
WebFitts_P0_S1_C1_Mouse_overall.csv,P0,S1,C1,Non-Dominant,Mouse,Intermediate,1102.5466666698455,13.333333333333334,2.511059602472548
WebFitts_P0_S1_C2_Touchpad_overall.csv,P0,S1,C2,Dominant,Touchpad,Intermediate,835.0133333206177,26.666666666666668,1.049466863150494
WebFitts_P0_S1_C3_Touchpad_overall.csv,P0,S1,C3,Non-Dominant,Touchpad,Intermediate,794.8400000095368,0,4.666954459296704
WebFitts_P0_S2_C0_Mouse_overall.csv,P0,S2,C0,Dominant,Mouse,Intermediate,704.67333334287,6.666666666666667,4.248154311609385
WebFitts_P0_S2_C1_Mouse_overall.csv,P0,S2,C1,Non-Dominant,Mouse,Intermediate,1056.7066666762034,6.666666666666667,2.9118783547925546
WebFitts_P0_S2_C2_Touchpad_overall.csv,P0,S2,C2,Dominant,Touchpad,Intermediate,669.9466666698456,40,3.5598814886874055
WebFitts_P0_S2_C3_Touchpad_overall.csv,P0,S2,C3,Non-Dominant,Touchpad,Intermediate,948.7199999968211,6.666666666666667,3.38555470075166
WebFitts_P0_S3_C0_Mouse_overall.csv,P0,S3,C0,Dominant,Mouse,Intermediate,794.953333346049,20,4.150084093981938
WebFitts_P0_S3_C1_Mouse_overall.csv,P0,S3,C1,Non-Dominant,Mouse,Intermediate,1137.0266666730245,20,2.5658106932651337
WebFitts_P0_S3_C2_Touchpad_overall.csv,P0,S3,C2,Dominant,Touchpad,Intermediate,730.2800000031789,6.666666666666667,4.421953398782042
WebFitts_P0_S3_C3_Touchpad_overall.csv,P0,S3,C3,Non-Dominant,Touchpad,Intermediate,896.146666653951,6.666666666666667,3.507442033900923
WebFitts_P0_S4_C0_Mouse_overall.csv,P0,S4,C0,Dominant,Mouse,Intermediate,706.419999996821,20,4.198208642347381
WebFitts_P0_S4_C1_Mouse_overall.csv,P0,S4,C1,Non-Dominant,Mouse,Intermediate,1018.446666653951,13.333333333333334,2.5329332971306733
WebFitts_P0_S4_C2_Touchpad_overall.csv,P0,S4,C2,Dominant,Touchpad,Intermediate,802.3400000095368,20,3.3609731806058427
WebFitts_P0_S4_C3_Touchpad_overall.csv,P0,S4,C3,Non-Dominant,Touchpad,Intermediate,924.27333334287,13.333333333333334,3.443278980332555
WebFitts_P1_S0_C0_Mouse_overall.csv,P1,S0,C0,Dominant,Mouse,Intermediate,868.1333333333333,6.666666666666667,3.659645779035673
WebFitts_P1_S0_C1_Mouse_overall.csv,P1,S0,C1,Non-Dominant,Mouse,Intermediate,1381.153333346049,0,2.445131328615605
WebFitts_P1_S0_C2_Touchpad_overall.csv,P1,S0,C2,Dominant,Touchpad,Intermediate,1122.3466666698455,33.33333333333333,2.798920024469526
WebFitts_P1_S0_C3_Touchpad_overall.csv,P1,S0,C3,Non-Dominant,Touchpad,Intermediate,1059.2599999904633,13.333333333333334,3.1096174327405772
WebFitts_P1_S1_C0_Mouse_overall.csv,P1,S1,C0,Dominant,Mouse,Intermediate,813.2333333333333,33.33333333333333,3.436412782319253
WebFitts_P1_S1_C1_Mouse_overall.csv,P1,S1,C1,Non-Dominant,Mouse,Intermediate,1151.8333333333333,26.666666666666668,2.1146198865325325
WebFitts_P1_S1_C2_Touchpad_overall.csv,P1,S1,C2,Dominant,Touchpad,Intermediate,1012.1399999936422,0,3.512274263946905
WebFitts_P1_S1_C3_Touchpad_overall.csv,P1,S1,C3,Non-Dominant,Touchpad,Intermediate,1007.3199999968211,33.33333333333333,3.0200842216107104
WebFitts_P1_S2_C0_Mouse_overall.csv,P1,S2,C0,Dominant,Mouse,Intermediate,653.8733333428701,6.666666666666667,4.682716747685087
WebFitts_P1_S2_C1_Mouse_overall.csv,P1,S2,C1,Non-Dominant,Mouse,Intermediate,1228.453333346049,20,2.364612217150146
WebFitts_P1_S2_C2_Touchpad_overall.csv,P1,S2,C2,Dominant,Touchpad,Intermediate,1025.3733333269754,6.666666666666667,3.3553799317925264
WebFitts_P1_S2_C3_Touchpad_overall.csv,P1,S2,C3,Non-Dominant,Touchpad,Intermediate,960.4933333396912,20,3.428734203231335
WebFitts_P1_S3_C0_Mouse_overall.csv,P1,S3,C0,Dominant,Mouse,Intermediate,893.0333333333333,6.666666666666667,3.455709541888227
WebFitts_P1_S3_C1_Mouse_overall.csv,P1,S3,C1,Non-Dominant,Mouse,Intermediate,1109.519999996821,20,1.662925006002056
WebFitts_P1_S3_C2_Touchpad_overall.csv,P1,S3,C2,Dominant,Touchpad,Intermediate,958.8,20,3.1765526989849984
WebFitts_P1_S3_C3_Touchpad_overall.csv,P1,S3,C3,Non-Dominant,Touchpad,Intermediate,1010.4600000063579,13.333333333333334,3.027124274822569
WebFitts_P1_S4_C0_Mouse_overall.csv,P1,S4,C0,Dominant,Mouse,Intermediate,1031.0399999936421,6.666666666666667,3.2158276130627863
WebFitts_P1_S4_C1_Mouse_overall.csv,P1,S4,C1,Non-Dominant,Mouse,Intermediate,1283.7133333365123,13.333333333333334,2.076509253297036
WebFitts_P1_S4_C2_Touchpad_overall.csv,P1,S4,C2,Dominant,Touchpad,Intermediate,993.8066666603088,13.333333333333334,3.1729477384111817
WebFitts_P1_S4_C3_Touchpad_overall.csv,P1,S4,C3,Non-Dominant,Touchpad,Intermediate,987.7866666634877,13.333333333333334,3.553698379235696
WebFitts_P2_S0_C0_Mouse_overall.csv,P2,S0,C0,Dominant,Mouse,Intermediate,765.9333333333333,0,4.955390804651687
WebFitts_P2_S0_C1_Mouse_overall.csv,P2,S0,C1,Non-Dominant,Mouse,Intermediate,1302.4600000063579,13.333333333333334,2.5022055013735205
WebFitts_P2_S0_C2_Touchpad_overall.csv,P2,S3,C2,Dominant,Touchpad,Intermediate,1189.2666666666667,0,2.9627209233769753
WebFitts_P2_S0_C3_Touchpad_overall.csv,P2,S4,C3,Non-Dominant,Touchpad,Intermediate,1627.246666653951,13.333333333333334,0.5648411913780399
WebFitts_P2_S1_C0_Mouse_overall.csv,P2,S1,C0,Dominant,Mouse,Intermediate,691.1066666603089,0,4.494833394604239
WebFitts_P2_S1_C1_Mouse_overall.csv,P2,S1,C1,Non-Dominant,Mouse,Intermediate,928.506666692098,6.666666666666667,3.4470525928218434
WebFitts_P2_S1_C2_Touchpad_overall.csv,P2,S1,C2,Dominant,Touchpad,Intermediate,827.3933333396911,0,4.624241324675345
WebFitts_P2_S1_C3_Touchpad_overall.csv,P2,S1,C3,Non-Dominant,Touchpad,Intermediate,1374.2399999936422,6.666666666666667,2.664528426847652
WebFitts_P2_S2_C0_Mouse_overall.csv,P2,S2,C0,Dominant,Mouse,Intermediate,636.9933333396912,26.666666666666668,1.0949420920490747
WebFitts_P2_S2_C1_Mouse_overall.csv,P2,S2,C1,Non-Dominant,Mouse,Intermediate,1479.5400000254313,6.666666666666667,1.9972058955791518
WebFitts_P2_S2_C2_Touchpad_overall.csv,P2,S2,C2,Dominant,Touchpad,Intermediate,886.0266666412354,6.666666666666667,2.2197854371753047
WebFitts_P2_S2_C3_Touchpad_overall.csv,P2,S2,C3,Non-Dominant,Touchpad,Intermediate,1559.8333333333333,26.666666666666668,0.5737152335039356
WebFitts_P2_S3_C0_Mouse_overall.csv,P2,S3,C0,Dominant,Mouse,Intermediate,644,0,4.949498518734247
WebFitts_P2_S3_C1_Mouse_overall.csv,P2,S3,C1,Non-Dominant,Mouse,Intermediate,961.5133333206177,20,3.1237888440259827
WebFitts_P2_S3_C2_Touchpad_overall.csv,P2,S3,C2,Dominant,Touchpad,Intermediate,742.9133333524068,20,1.2853328745349837
WebFitts_P2_S3_C3_Touchpad_overall.csv,P2,S3,C3,Non-Dominant,Touchpad,Intermediate,1481.9,46.666666666666664,0.5926910468622628
WebFitts_P2_S4_C0_Mouse_overall.csv,P2,S4,C0,Dominant,Mouse,Intermediate,569.4733333269755,6.666666666666667,5.382687921586883
WebFitts_P2_S4_C1_Mouse_overall.csv,P2,S4,C1,Non-Dominant,Mouse,Intermediate,1001.4333333333333,6.666666666666667,3.304372082135244
WebFitts_P2_S4_C2_Touchpad_overall.csv,P2,S4,C2,Dominant,Touchpad,Intermediate,788.4066666920979,20,3.4992955968481656
WebFitts_P2_S4_C3_Touchpad_overall.csv,P2,S4,C3,Non-Dominant,Touchpad,Intermediate,1392.5800000190734,26.666666666666668,0.6689965186491698
WebFitts_P3_S0_C0_Mouse_overall.csv,P3,S0,C0,Dominant,Mouse,Intermediate,791.4399999936421,13.333333333333334,3.581504787348651
WebFitts_P3_S0_C1_Mouse_overall.csv,P3,S2,C1,Non-Dominant,Mouse,Intermediate,1234.546666653951,20,2.374068281418868
WebFitts_P3_S0_C2_Touchpad_overall.csv,P3,S3,C2,Dominant,Touchpad,Intermediate,1142.8,0,3.046822881519406
WebFitts_P3_S0_C3_Touchpad_overall.csv,P3,S4,C3,Non-Dominant,Touchpad,Intermediate,1442.6933333396912,20,2.134630929344518
WebFitts_P3_S1_C0_Mouse_overall.csv,P3,S1,C0,Dominant,Mouse,Intermediate,750.0266666412354,6.666666666666667,4.100143047857516
WebFitts_P3_S1_C1_Mouse_overall.csv,P3,S1,C1,Non-Dominant,Mouse,Intermediate,1634.6666666666667,26.666666666666668,1.669628428023322
WebFitts_P3_S1_C2_Touchpad_overall.csv,P3,S1,C2,Dominant,Touchpad,Intermediate,1079.2066666603089,40,0.8010193250476814
WebFitts_P3_S1_C3_Touchpad_overall.csv,P3,S1,C3,Non-Dominant,Touchpad,Intermediate,1207.9133333206178,26.666666666666668,0.7801947336500483
WebFitts_P3_S2_C0_Mouse_overall.csv,P3,S2,C0,Dominant,Mouse,Intermediate,529.953333346049,20,4.539008500257531
WebFitts_P3_S2_C1_Mouse_overall.csv,P3,S2,C1,Non-Dominant,Mouse,Intermediate,1284.2799999872843,46.666666666666664,1.9436548065465413
WebFitts_P3_S2_C2_Touchpad_overall.csv,P3,S2,C2,Dominant,Touchpad,Intermediate,1126.3,26.666666666666668,0.6043265873179378
WebFitts_P3_S2_C3_Touchpad_overall.csv,P3,S2,C3,Non-Dominant,Touchpad,Intermediate,1127.95333331426,46.666666666666664,2.2142125548826503
WebFitts_P3_S3_C0_Mouse_overall.csv,P3,S3,C0,Dominant,Mouse,Intermediate,530.453333346049,33.33333333333333,4.711677486657931
WebFitts_P3_S3_C1_Mouse_overall.csv,P3,S3,C1,Non-Dominant,Mouse,Intermediate,878.4133333206177,26.666666666666668,3.21617926660795
WebFitts_P3_S3_C2_Touchpad_overall.csv,P3,S3,C2,Dominant,Touchpad,Intermediate,935.5,26.666666666666668,0.8752156277407672
WebFitts_P3_S3_C3_Touchpad_overall.csv,P3,S3,C3,Non-Dominant,Touchpad,Intermediate,1318.3533333460489,46.666666666666664,2.1767094223733716
WebFitts_P3_S4_C0_Mouse_overall.csv,P3,S4,C0,Dominant,Mouse,Intermediate,644.7533333142599,26.666666666666668,1.4793931415490826
WebFitts_P3_S4_C1_Mouse_overall.csv,P3,S4,C1,Non-Dominant,Mouse,Intermediate,1209.0600000063578,33.33333333333333,1.7044796012491321
WebFitts_P3_S4_C2_Touchpad_overall.csv,P3,S4,C2,Dominant,Touchpad,Intermediate,966.5799999872844,40,2.6240710925543773
WebFitts_P3_S4_C3_Touchpad_overall.csv,P3,S4,C3,Non-Dominant,Touchpad,Intermediate,1207.3,20,2.5548402147168754
